X,Y,Cluster
5.392970,-9.131667,0
-6.623092,8.340944,0
-2.025470,-6.686408,0
-0.286500,1.709346,0
-1.270230,-8.275856,0
0.099879,1.514994,0
4.731501,-7.893067,0
-1.254859,-7.296748,0
0.010068,1.667364,0
4.776079,-8.596875,0
-7.439105,8.802632,0
4.827116,-8.751179,0
-6.313927,9.321628,0
-2.747607,-7.042055,0
-0.959057,1.498068,0
-1.148509,-6.629770,0
-1.073935,0.624927,0
0.230146,1.586333,0
-2.707886,-7.309544,0
-0.678385,0.519644,0
-0.387478,1.807852,0
-6.127811,9.328741,0
-7.312493,9.163863,0
-1.172664,1.566038,0
5.264917,-9.446668,0
4.425324,-8.170195,0
5.198103,-8.290807,0
-0.269607,1.195213,0
-1.280940,1.005799,0
-7.037887,9.535687,0
-0.177433,2.135775,0
-2.162102,-7.612591,0
-0.796175,1.997897,0
-1.579761,-6.249065,0
-0.070503,2.076270,0
-0.552063,1.143173,0
4.887167,-8.609993,0
-2.079924,-6.827760,0
4.631010,-8.885079,0
-2.530333,-7.121687,0
5.715880,-9.068226,0
-6.711933,8.090233,0
-1.042240,-7.396337,0
5.442649,-7.329483,0
5.857527,-8.008740,0
-1.307956,-6.541945,0
-1.677614,-6.050930,0
-1.775296,-5.879765,0
-2.510733,-6.283042,0
-2.841267,-5.902395,0
3.962051,-8.112900,0
-7.186838,8.385570,0
4.990761,-8.086729,0
5.031285,-9.765973,0
0.008086,2.396962,0
-1.310286,-7.658377,0
-2.281361,-6.710295,0
4.988917,-8.308876,0
-2.429506,-8.114393,0
-7.414534,8.953371,0
5.071064,-9.402208,0
-0.421877,3.074807,0
-1.170662,1.337445,0
-7.482293,10.047305,0
-1.866197,-7.297787,0
5.392047,-9.122736,0
-0.040553,2.814441,0
6.651465,-8.268799,0
5.489561,-9.756217,0
-0.689019,1.817406,0
-1.664396,-5.808196,0
0.158501,1.679973,0
-1.793663,-7.756704,0
-1.292311,-6.648375,0
-7.290497,9.882703,0
-8.105486,8.891976,0
-1.196431,-7.840229,0
5.782651,-8.787292,0
-6.472947,8.832438,0
4.984708,-7.584640,0
-2.446194,-7.102313,0
-8.152454,8.907910,0
-7.444685,9.408919,0
-0.454594,-7.105491,0
-0.164539,1.780127,0
-7.451717,8.824314,0
-2.053787,-8.108144,0
-2.485765,-6.172456,0
-1.741550,-7.435953,0
-2.376615,-7.198187,0
-1.733308,-5.760489,0
5.036580,-7.622965,0
-6.590962,8.600620,0
-0.718937,1.445853,0
-8.909987,8.346726,0
-1.821506,-6.558064,0
-6.681553,8.974843,0
6.027759,-7.842543,0
-0.055492,1.141878,0
-6.937759,9.567572,0
-7.906193,9.616309,0
-6.792623,8.330414,0
-1.295624,-6.309571,0
5.152667,-8.490096,0
-0.073594,2.591612,0
-0.405484,1.774239,0
-7.436633,8.250160,0
5.585860,-9.091549,0
-1.342272,0.768248,0
-6.713611,9.906477,0
5.219121,-8.196717,0
-7.778162,7.646122,0
-7.975198,7.795783,0
4.704958,-7.350421,0
-1.736660,1.855941,0
-1.482975,-6.542718,0
-1.916426,-6.680421,0
-8.354012,8.224534,0
4.819964,-8.649199,0
-2.794596,-7.572361,0
-0.045108,1.420362,0
5.722078,-8.980394,0
-6.547040,7.559774,0
0.072955,1.617586,0
0.820516,2.021731,0
-1.711014,-7.326303,0
5.560809,-8.456490,0
4.876201,-8.860450,0
0.827504,1.921758,0
-0.073139,1.876598,0
-7.203938,8.719047,0
