X,Y,Cluster
4.762006,-7.700549,2
4.490764,-8.202433,2
-1.384802,2.850730,0
-1.411994,-6.885759,3
0.045029,1.578344,0
-7.419469,9.258043,1
-6.915910,9.343622,1
-7.663262,8.672174,1
-2.618907,-6.364270,3
-1.369107,-8.103168,3
-7.965163,9.759896,1
3.859469,-9.427813,2
-6.857823,8.734104,1
5.694240,-7.702050,2
-1.166888,1.534255,0
4.915105,-8.375386,2
5.906869,-8.625505,2
4.852847,-9.165339,2
3.824093,-9.154129,2
-8.335309,9.525782,1
-7.564042,8.623292,1
-0.511534,1.720191,0
5.040473,-8.607021,2
-1.700449,-6.999531,3
0.851208,1.509672,0
4.611847,-9.413694,2
5.518571,-9.543255,2
5.252717,-7.863656,2
5.570813,-8.532124,2
-8.661659,8.512582,1
-1.832927,2.488858,0
5.391468,-7.782203,2
-1.391133,2.192824,0
-2.215009,-6.506321,3
-6.730709,9.503952,1
-7.957087,9.350269,1
-7.043262,8.139644,1
-2.404278,-7.396433,3
5.387942,-8.360723,2
-7.562836,8.907129,1
-1.995746,-8.023634,3
-0.765040,2.120000,0
-0.555754,1.395636,0
-6.529685,9.315645,1
6.258118,-9.497755,2
6.045341,-8.855748,2
4.854451,-8.751208,2
-1.481125,-6.499829,3
-2.235781,-7.365580,3
-1.434776,1.623461,0
-1.113856,-8.648695,3
4.505298,-8.216881,2
-8.149974,9.416435,1
-0.583330,0.783266,0
-7.084691,8.860186,1
-0.828026,1.388811,0
-1.019220,1.960501,0
-1.586257,-7.089551,3
-0.928318,1.470782,0
-1.762896,-8.324857,3
-2.196758,-8.065091,3
-0.804110,0.619741,0
-6.876051,8.661241,1
-7.218046,8.546599,1
0.257758,1.047257,0
-1.534795,-6.920418,3
-0.551948,1.821694,0
-0.065549,1.644688,0
6.098273,-7.894361,2
-7.716653,8.332732,1
5.521724,-8.544084,2
-2.151974,-6.446146,3
-2.056076,-7.645799,3
5.446074,-7.809440,2
-7.685297,8.967738,1
5.022829,-8.502090,2
5.488475,-9.207841,2
-6.448708,8.055040,1
-7.217422,9.452492,1
-7.795436,8.497587,1
-2.932793,-6.179607,3
-1.781316,-7.270430,3
-1.612672,-6.883575,3
4.751129,-8.458489,2
-8.737754,8.863891,1
-5.756699,9.375492,1
-7.166975,9.275809,1
-0.836996,-7.810438,3
-1.326093,-6.700943,3
0.031984,1.928577,0
-2.283293,-7.920832,3
-7.856377,8.880515,1
-1.943985,-7.559339,3
-1.555187,-6.806860,3
-0.808228,2.184240,0
-3.217934,-7.682296,3
-7.563298,10.641042,1
-7.034101,9.483513,1
-2.452780,-7.949549,3
-7.137389,9.953130,1
-6.765259,8.906685,1
-0.273039,2.389824,0
4.603570,-8.669659,2
-7.272162,9.217072,1
0.173797,2.088860,0
4.451280,-8.209515,2
-0.435759,2.134993,0
0.194730,2.753963,0
-0.616057,2.270854,0
0.099116,1.515233,0
-8.123590,8.997624,1
-2.131181,-7.093704,3
-6.747540,8.712298,1
-8.401052,9.747847,1
-7.813951,9.651740,1
-2.265501,-6.897901,3
-7.867948,8.691944,1
4.974299,-7.803446,2
5.352123,-8.483088,2
-7.437068,8.938006,1
0.262914,1.192335,0
4.369736,-9.294219,2
-0.307650,-7.360328,3
-8.441885,9.027967,1
-1.952491,-7.154659,3
-0.644840,1.582226,0
-6.584382,9.512048,1
-7.154367,9.228756,1
4.595741,-8.414740,2
-2.795842,-5.243142,3
-1.227580,-6.404211,3
4.226287,-8.595159,2
4.670270,-8.326365,2
4.348524,-8.333884,2
-1.494853,-7.169208,3
5.039691,-8.599617,2
-1.976610,-6.789752,3
-6.250550,9.240831,1
-2.539201,-6.903249,3
4.817476,-9.619360,2
-1.133726,2.089828,0
-0.875641,2.052291,0
5.996819,-8.659695,2
4.686293,-8.742206,2
-0.714949,2.327372,0
-2.229555,-7.879914,3
-1.451223,-7.302238,3
4.742480,-8.881982,2
-6.939575,8.201856,1
-2.256601,-6.610892,3
5.124960,-8.455757,2
-7.166261,10.523860,1
-1.450297,-6.189431,3
4.704337,-8.454397,2
-8.183174,8.771437,1
-1.170606,-7.792308,3
-0.898277,2.479551,0
-1.515411,-6.156233,3
4.841308,-7.761365,2
-1.831733,-7.893744,3
-0.691427,0.763282,0
-6.865266,9.259563,1
5.699860,-9.667203,2
-0.091149,1.159782,0
-7.933579,8.209204,1
-0.346730,1.879883,0
-1.320205,2.353630,0
-2.645222,-6.518986,3
-1.801669,-7.847132,3
-0.509815,1.281102,0
-0.826390,-6.615989,3
-2.754603,-7.930830,3
-7.885382,9.533876,1
-1.769478,2.493691,0
-7.197320,8.711794,1
-1.799411,-8.439661,3
-7.790045,8.929401,1
-1.015675,1.682482,0
4.949131,-8.673460,2
-0.153485,1.878067,0
-0.854181,-7.843519,3
4.271793,-9.163654,2
0.159765,1.850651,0
-0.008062,2.473130,0
5.190915,-9.058930,2
-2.106131,-7.292269,3
-7.374734,8.923257,1
-2.433124,-7.865645,3
-0.513725,1.785859,0
-7.791660,8.466827,1
-1.662819,1.727415,0
-2.099040,-6.949822,3
-0.893677,1.969634,0
5.461986,-8.201145,2
-7.958014,8.932842,1
-1.039928,1.394462,0
5.760389,-8.256402,2
-7.210996,8.490549,1
0.876011,2.363163,0
-2.241567,-7.226238,3
-7.912211,8.611608,1
-7.122790,9.496214,1
-1.007498,1.979828,0
-1.303774,-7.243319,3
-1.503584,-7.560365,3
5.437549,-8.649411,2
-1.056208,-7.025434,3
-1.136585,1.662254,0
-1.904106,2.053696,0
-8.511759,9.301203,1
5.470577,-9.133095,2
-7.541472,7.584829,1
-2.348825,-7.585110,3
-2.679488,-6.078371,3
-7.225730,9.432647,1
-2.093554,-7.339728,3
4.118650,-9.468850,2
-1.996505,2.128848,0
-1.731600,1.891865,0
-8.100618,8.482695,1
-2.125705,-6.274565,3
-2.043208,-7.007322,3
-2.396338,-7.491573,3
5.239215,-8.537448,2
0.739931,1.096172,0
-2.104933,-6.518751,3
-1.344981,0.893431,0
-1.610672,-6.419134,3
-1.140926,1.606869,0
-0.301475,2.549945,0
-2.172515,-7.312551,3
-8.054179,9.520777,1
5.646148,-8.621513,2
-2.141040,-6.468894,3
-0.987522,-7.200819,3
-6.703486,8.927814,1
-6.154161,8.662129,1
-0.535643,2.383943,0
5.454062,-8.809204,2
-0.871401,2.985910,0
0.129607,-6.970136,3
-1.844219,-7.194953,3
-8.261192,9.506395,1
-1.246587,0.951748,0
-2.291311,-7.297784,3
-0.858613,-7.439777,3
-1.301935,2.995368,0
-0.064658,2.523394,0
-7.493126,9.788865,1
-2.748023,-7.487583,3
4.329210,-8.324103,2
-6.963597,8.451899,1
-0.709853,0.530784,0
-1.321691,2.058425,0
-7.286484,10.067933,1
-0.039695,2.434207,0
4.086611,-8.146742,2
-7.253513,8.071030,1
-1.226173,1.391822,0
4.748800,-8.268643,2
4.979429,-7.877150,2
-2.208619,-7.462429,3
-7.493295,9.134582,1
-1.880540,-7.686132,3
0.438573,1.729007,0
-0.639129,2.324901,0
4.898878,-8.817205,2
-7.002846,8.166757,1
-7.570001,9.407627,1
-7.063270,7.860677,1
-1.354784,1.039784,0
-0.563568,-7.321974,3
5.778983,-7.701613,2
-0.545326,2.148527,0
-7.783765,8.255312,1
-1.002968,1.326345,0
-1.591446,-6.338604,3
-6.964457,9.761894,1
-2.408526,-6.530582,3
-6.180379,8.511086,1
-0.885863,-6.658660,3
-1.115275,-6.728534,3
5.367100,-8.140938,2
-7.140439,8.482984,1
-2.133202,-8.615929,3
-6.168221,9.673222,1
5.593594,-7.958735,2
-6.072722,9.460940,1
-2.391593,-7.141836,3
-1.598838,-7.449053,3
-1.485630,0.649336,0
-6.974234,8.789186,1
-2.843632,-5.774788,3
-0.303053,2.501358,0
-7.327797,8.531759,1
5.792315,-7.617980,2
-2.168881,-6.650852,3
-7.584063,9.069222,1
-6.787308,8.947866,1
6.473320,-8.083928,2
-1.064053,2.359460,0
-7.353580,9.323298,1
4.537998,-9.171743,2
-7.294061,9.565987,1
-1.373443,2.226468,0
-1.927764,-6.900207,3
-7.558215,9.963834,1
-6.804181,9.044474,1
-7.099390,8.168267,1
-1.413299,-6.534290,3
-0.467901,1.549813,0
-6.138938,8.508566,1
5.173271,-9.547718,2
-1.078974,2.182377,0
4.987224,-8.303786,2
-1.196662,-7.985209,3
3.938085,-9.647813,2
5.454670,-7.853138,2
-0.353512,1.589355,0
-8.590751,8.319596,1
-6.819878,9.061744,1
-1.993684,-7.961116,3
4.680951,-7.714587,2
-7.803742,8.921284,1
-0.902350,2.751549,0
-2.101873,-7.122212,3
-7.783603,8.208707,1
-1.607866,1.217871,0
-6.466329,9.239546,1
4.576972,-9.020042,2
-1.043524,-7.706324,3
4.645250,-7.899942,2
-0.727580,1.047524,0
5.458330,-8.437770,2
-1.877058,-6.868665,3
4.589650,-8.485890,2
-1.465582,-7.166841,3
4.762072,-8.057251,2
5.250241,-8.682862,2
-0.720654,1.967533,0
-1.894273,2.093189,0
-7.193483,8.654844,1
-0.890483,2.078778,0
0.185785,2.335559,0
0.619749,1.845797,0
4.636585,-8.614636,2
-1.071659,-7.545420,3
-2.047214,-6.752825,3
-7.462656,9.488633,1
-6.762589,9.233586,1
-7.226451,9.125445,1
5.064472,-8.896334,2
-6.877833,8.729967,1
0.008830,1.742627,0
-2.563389,-7.084752,3
4.465714,-8.577210,2
-1.782414,-6.824006,3
-1.826444,-6.226011,3
-2.094750,-7.354191,3
-0.494668,-7.377971,3
5.431415,-8.386591,2
-2.068624,-7.348236,3
4.927707,-7.845447,2
-1.249009,-6.997141,3
4.738152,-10.295660,2
4.965972,-8.109781,2
-0.358964,2.035809,0
-1.022832,1.543125,0
-0.605986,2.058400,0
4.753610,-8.012945,2
-1.251275,1.404804,0
-8.382823,9.343892,1
-6.897647,8.879972,1
-0.041958,1.709760,0
-6.701650,9.590581,1
-2.986582,-7.289242,3
-1.513252,-6.986691,3
-7.388221,9.142168,1
-1.118462,3.068816,0
-0.988693,2.698530,0
-7.569863,8.974096,1
-1.000258,1.096228,0
5.695765,-7.851665,2
-0.527538,1.284074,0
5.221667,-8.427008,2
-0.453603,2.673453,0
0.233366,2.404914,0
-2.021389,-6.714704,3
-1.305487,-7.878965,3
5.255617,-8.020606,2
-1.222566,-6.725638,3
5.028276,-7.937694,2
-0.375553,1.144164,0
-0.212552,2.433367,0
-1.982430,-6.002939,3
5.008308,-8.109845,2
4.196427,-8.633246,2
-0.884886,0.942081,0
-8.085122,8.709624,1
-7.599173,8.689789,1
-2.010383,-7.612995,3
5.524637,-8.423053,2
4.408830,-9.062565,2
-6.865249,8.977220,1
-2.258262,-7.203091,3
4.685280,-7.472042,2
-1.602900,2.480772,0
-2.103333,-7.303583,3
3.658955,-8.365698,2
-1.476897,-7.653055,3
6.070206,-9.593653,2
0.237429,2.134967,0
-6.500017,9.903820,1
4.390175,-8.414144,2
5.364637,-9.517569,2
-2.988428,-7.601586,3
-6.554493,8.949387,1
-0.738701,1.463666,0
-7.092862,8.878125,1
-2.616888,-7.654922,3
-0.679755,1.419368,0
-0.570881,-6.354462,3
4.916876,-8.454618,2
0.178571,0.903884,0
-1.390065,1.507396,0
-1.627368,-7.410064,3
-6.467118,10.283391,1
-7.013139,9.442388,1
5.255582,-9.021471,2
4.800670,-7.459851,2
5.124822,-8.983232,2
4.860896,-9.107452,2
-6.996948,8.251675,1
4.522435,-8.206757,2
-0.982241,3.388899,0
-2.620117,-7.267545,3
4.514248,-8.247432,2
3.886358,-9.867019,2
-1.398956,1.993174,0
-6.926417,8.891044,1
4.544850,-7.672371,2
-2.366030,-7.131238,3
4.153835,-9.048332,2
-0.804568,2.770177,0
0.162662,2.779928,0
-0.862295,1.208673,0
-1.271995,-7.332427,3
-6.607480,8.674528,1
-1.239925,2.311780,0
-1.519445,-6.870852,3
-1.946265,-7.050260,3
-7.373263,8.696453,1
0.092841,1.443623,0
-8.169343,8.603876,1
5.444925,-9.042936,2
-1.074971,-6.920667,3
-0.501058,2.170413,0
6.082647,-9.310228,2
-2.268791,-7.215251,3
-1.895531,2.506328,0
-6.411667,8.376647,1
4.562900,-9.789449,2
0.175238,1.795298,0
-2.252772,-7.874558,3
-6.524399,8.371687,1
4.950952,-9.140018,2
-0.972939,1.340902,0
-2.075587,-6.626443,3
-1.488643,-7.003689,3
-7.159353,8.491738,1
-1.781915,-7.943381,3
-0.169775,2.269626,0
-1.999046,-7.340329,3
-7.222578,9.204320,1
-1.646576,-6.692198,3
3.793520,-8.381999,2
-0.101022,1.783392,0
-1.082347,1.918747,0
4.845356,-8.444645,2
-6.753311,8.107504,1
-7.714119,9.686181,1
-0.773536,1.567663,0
-2.827182,-7.120516,3
4.275479,-8.279734,2
-1.254199,1.589773,0
-0.702595,1.285590,0
-0.855970,2.312028,0
-7.910608,7.908672,1
-2.072066,-6.621043,3
-1.346935,1.385750,0
-1.116257,-7.370708,3
5.298657,-7.804803,2
-0.327310,1.799877,0
5.404603,-7.736342,2
4.741971,-8.996222,2
-1.763655,-5.848289,3
-7.489294,9.039690,1
4.885212,-9.049127,2
5.326524,-7.914493,2
-7.085189,9.650263,1
-0.679970,2.467216,0
-7.586928,8.309413,1
6.147888,-9.727834,2
-7.498425,8.843281,1
5.958520,-8.427489,2
-2.838116,-8.377140,3
3.941485,-8.458290,2
5.451368,-8.785606,2
-7.751073,9.818090,1
3.992174,-7.629943,2
-1.209612,2.191666,0
-1.796368,-7.712540,3
5.516655,-8.908513,2
-0.278994,1.427481,0
-7.021608,8.338858,1
5.913865,-8.430457,2
0.481353,2.067770,0
-1.023250,1.477724,0
-0.675471,1.113749,0
-2.310664,-7.663025,3
-0.230910,2.037022,0
5.389636,-8.923591,2
