K,Mode,Time,ObjFun
4,0,0.000053,1206.379517
4,1,0.002110,1206.379517
4,2,0.002335,1206.379517
4,3,0.002031,1206.379517
4,0,0.000125,675.573486
4,1,0.000479,675.573486
4,2,0.002393,675.573486
4,3,0.004082,675.573486
1,0,0.000020,6855.557617
1,1,0.002112,6855.557617
1,2,0.001998,6855.557617
1,3,0.003748,6855.557617
1,0,0.000059,6855.557617
1,1,0.000471,6855.557617
1,2,0.002279,6855.557617
1,3,0.002043,6855.557617
1,0,0.000021,6855.557617
1,1,0.002341,6855.557617
1,2,0.001974,6855.557617
1,3,0.002337,6855.557617
1,0,0.000021,6855.557617
1,1,0.002141,6855.557617
1,2,0.003049,6855.557617
1,3,0.002887,6855.557617
1,0,0.000036,6855.557617
1,1,0.000440,6855.557617
1,2,0.001934,6855.557617
1,3,0.004063,6855.557617
1,0,0.000023,6855.557617
1,1,0.002574,6855.557617
1,2,0.001939,6855.557617
1,3,0.002741,6855.557617
1,0,0.000075,6855.557617
1,1,0.000431,6855.557617
1,2,0.001945,6855.557617
1,3,0.004215,6855.557617
1,0,0.000021,6855.557617
1,1,0.002122,6855.557617
1,2,0.002173,6855.557617
1,3,0.005715,6855.557617
1,0,0.000021,6855.557617
1,1,0.001282,6855.557617
1,2,0.002044,6855.557617
1,3,0.003798,6855.557617
1,0,0.000043,6855.557617
1,1,0.001905,6855.557617
1,2,0.001838,6855.557617
1,3,0.003203,6855.557617
1,0,0.000021,6855.557617
1,1,0.001222,6855.557617
1,2,0.002067,6855.557617
1,3,0.002702,6855.557617
1,0,0.000021,6855.557617
1,1,0.001209,6855.557617
1,2,0.001924,6855.557617
1,3,0.002768,6855.557617
1,0,0.000021,6855.557617
1,1,0.003317,6855.557617
1,2,0.002011,6855.557617
1,3,0.003142,6855.557617
1,0,0.000067,6855.557617
1,1,0.000469,6855.557617
1,2,0.002004,6855.557617
1,3,0.003785,6855.557617
1,0,0.000021,6855.557617
1,1,0.002331,6855.557617
