K,Mode,Time,ObjFun
4,0,0.021126,7088.92041
4,1,0.017617,7088.92041
4,2,0.196322,7088.92041
4,3,0.109482,7088.92041
1,0,0.00361,707074.5625
1,1,0.002009,707074.5625
1,2,0.061497,707074.5625
1,3,0.103285,707074.5625
1,0,0.002735,707074.5625
1,1,0.014235,707074.5625
1,2,0.071492,707074.5625
1,3,0.056654,707074.5625
1,0,0.001969,707074.5625
1,1,0.001973,707074.5625
1,2,0.143837,707074.5625
1,3,0.08603,707074.5625
1,0,0.003534,707074.5625
1,1,0.010527,707074.5625
1,2,0.077667,707074.5625
1,3,0.098654,707074.5625
1,0,0.003137,707074.5625
1,1,0.002858,707074.5625
1,2,0.103666,707074.5625
1,3,0.071153,707074.5625
1,0,0.002979,707074.5625
1,1,0.00164,707074.5625
1,2,0.07069,707074.5625
1,3,0.100667,707074.5625
1,0,0.003553,707074.5625
1,1,0.002731,707074.5625
1,2,0.097251,707074.5625
1,3,0.082366,707074.5625
1,0,0.002048,707074.5625
1,1,0.011225,707074.5625
1,2,0.090062,707074.5625
1,3,0.103869,707074.5625
1,0,0.001546,707074.5625
1,1,0.011948,707074.5625
1,2,0.096786,707074.5625
1,3,0.110481,707074.5625
1,0,0.010616,707074.5625
1,1,0.002023,707074.5625
1,2,0.081129,707074.5625
1,3,0.084954,707074.5625
1,0,0.016114,707074.5625
1,1,0.010597,707074.5625
1,2,0.100616,707074.5625
1,3,0.041929,707074.5625
1,0,0.00149,707074.5625
1,1,0.013508,707074.5625
1,2,0.128828,707074.5625
1,3,0.106581,707074.5625
1,0,0.003634,707074.5625
1,1,0.001587,707074.5625
1,2,0.104208,707074.5625
1,3,0.057266,707074.5625
1,0,0.003824,707074.5625
1,1,0.01478,707074.5625
1,2,0.056844,707074.5625
1,3,0.119369,707074.5625
1,0,0.001787,707074.5625
1,1,0.002145,707074.5625
1,2,0.116599,707074.5625
1,3,0.032923,707074.5625
1,0,0.002679,707074.5625
1,1,0.002161,707074.5625
1,2,0.073338,707074.5625
1,3,0.059646,707074.5625
1,0,0.001963,707074.5625
1,1,0.002248,707074.5625
1,2,0.093394,707074.5625
1,3,0.075051,707074.5625
1,0,0.003246,707074.5625
1,1,0.011897,707074.5625
1,2,0.08239,707074.5625
1,3,0.070596,707074.5625
1,0,0.002248,707074.5625
