K,Mode,Time,ObjFun
4,0,0.600952,720754.687500
4,1,0.100762,720754.687500
4,2,0.425885,720754.687500
4,3,0.565296,720754.687500
4,0,0.597328,720779.312500
4,1,0.101244,720779.312500
4,2,0.870925,720779.312500
4,3,0.430899,720779.312500
1,0,0.072389,70677248.000000
1,1,0.042352,70677248.000000
1,2,0.248034,70677248.000000
1,3,0.840249,70677248.000000
1,0,0.071970,70677248.000000
1,1,0.042463,70677248.000000
1,2,0.310246,70677248.000000
1,3,0.482974,70677248.000000
1,0,0.071865,70677248.000000
1,1,0.042766,70677248.000000
1,2,0.227050,70677248.000000
1,3,0.432563,70677248.000000
1,0,0.071593,70677248.000000
1,1,0.042602,70677248.000000
1,2,0.239126,70677248.000000
1,3,0.255506,70677248.000000
1,0,0.071948,70677248.000000
1,1,0.042813,70677248.000000
1,2,0.253147,70677248.000000
1,3,0.329639,70677248.000000
1,0,0.071568,70677248.000000
1,1,0.042751,70677248.000000
1,2,0.219964,70677248.000000
1,3,0.257858,70677248.000000
1,0,0.071455,70677248.000000
1,1,0.042641,70677248.000000
1,2,0.261710,70677248.000000
1,3,0.285378,70677248.000000
1,0,0.071862,70677248.000000
1,1,0.042343,70677248.000000
1,2,0.266399,70677248.000000
1,3,0.299674,70677248.000000
1,0,0.072065,70677248.000000
1,1,0.042308,70677248.000000
1,2,0.277992,70677248.000000
1,3,0.445345,70677248.000000
1,0,0.071611,70677248.000000
1,1,0.042362,70677248.000000
1,2,0.232128,70677248.000000
1,3,0.255180,70677248.000000
2,0,0.395062,23393884.000000
2,1,0.064551,23393884.000000
2,2,1.573516,23393884.000000
2,3,0.963317,23393884.000000
2,0,0.355563,19156382.000000
2,1,0.070521,19156382.000000
2,2,0.496368,19156382.000000
2,3,0.758375,19156382.000000
2,0,0.301278,19156382.000000
2,1,0.069967,19156382.000000
2,2,1.685078,19156382.000000
2,3,0.794413,19156382.000000
2,0,0.593936,19155766.000000
2,1,0.070175,19155766.000000
2,2,1.335915,19155766.000000
2,3,1.129851,19155766.000000
2,0,0.393289,23393884.000000
2,1,0.063923,23393884.000000
2,2,1.207725,23393884.000000
2,3,1.148673,23393884.000000
2,0,0.394666,23393884.000000
2,1,0.064093,23393884.000000
2,2,0.845466,23393884.000000
2,3,0.500522,23393884.000000
2,0,0.370679,19156382.000000
2,1,0.069912,19156382.000000
2,2,1.074751,19156382.000000
2,3,0.594503,19156382.000000
2,0,0.448046,19156382.000000
2,1,0.069942,19156382.000000
2,2,0.628856,19156382.000000
2,3,0.950965,19156382.000000
2,0,0.452609,23393884.000000
2,1,0.064304,23393884.000000
2,2,1.137105,23393884.000000
2,3,1.188393,23393884.000000
2,0,0.457132,23393884.000000
2,1,0.064183,23393884.000000
2,2,0.877909,23393884.000000
2,3,1.034682,23393884.000000
3,0,0.404308,7065494.000000
3,1,0.087143,7065494.000000
3,2,0.589357,7065494.000000
3,3,0.603628,7065494.000000
3,0,0.581127,7068871.500000
3,1,0.096411,7068871.500000
3,2,0.528751,7068871.500000
3,3,1.237960,7068871.500000
3,0,0.401056,7065494.000000
3,1,0.087120,7065494.000000
3,2,0.848263,7065494.000000
3,3,0.946119,7065494.000000
3,0,0.405598,7065494.000000
3,1,0.092686,7065494.000000
3,2,0.581783,7065494.000000
3,3,0.537851,7065494.000000
3,0,1.872589,7065494.000000
3,1,0.092569,7065494.000000
3,2,1.029687,7065494.000000
3,3,0.810893,7065494.000000
3,0,0.715331,12794413.000000
3,1,0.087033,12794413.000000
3,2,1.016141,12794413.000000
3,3,0.516454,12794413.000000
3,0,1.740475,7068879.000000
3,1,0.090424,7068879.000000
3,2,0.513349,7068879.000000
3,3,0.486870,7068879.000000
3,0,0.509369,7065494.000000
3,1,0.087338,7065494.000000
3,2,1.919841,7065494.000000
3,3,0.659462,7065494.000000
3,0,0.479743,7068871.500000
3,1,0.090702,7068871.500000
3,2,1.199729,7068871.500000
3,3,0.403563,7068871.500000
3,0,0.392839,7061983.500000
3,1,0.092362,7061983.500000
3,2,0.852123,7061983.500000
3,3,0.809581,7061983.500000
4,0,0.752789,720793.500000
4,1,0.102280,720793.500000
4,2,43.407932,720793.500000
4,3,4.061296,720793.500000
4,0,0.600903,720779.500000
4,1,0.100114,720779.500000
4,2,59.082104,720779.500000
4,3,25.203432,720779.500000
4,0,0.598197,720762.375000
4,1,0.100286,720762.375000
4,2,0.654329,720762.375000
4,3,0.600939,720762.375000
4,0,53.072113,12715565.000000
4,1,0.107825,12715565.000000
4,2,31.260221,12715565.000000
4,3,81.902016,12715565.000000
4,0,0.612376,720773.812500
4,1,0.102484,720773.812500
4,2,40.832817,720773.812500
4,3,36.402119,720773.812500
