K,Mode,Time,ObjFun
1,0,0.071848,70677248.000000
1,1,0.042358,70677248.000000
1,2,0.156056,70677248.000000
1,3,0.143947,70677248.000000
0,0,0.015736,0.000000
0,1,0.008178,0.000000
0,2,0.093692,0.000000
0,3,0.090306,0.000000
10,0,104.605469,547950.687500
10,1,0.224979,547950.687500
10,2,40.810341,547950.687500
10,3,54.279034,547950.687500
10,0,84.826294,508302.000000
10,1,0.217303,508302.000000
10,2,95.114845,508302.000000
10,3,36.282173,508302.000000
9,0,60.668327,508901.843750
9,1,0.199555,508901.843750
9,2,28.137682,508901.843750
9,3,39.783436,508901.843750
9,0,76.487885,605680.812500
9,1,0.206831,605680.812500
9,2,48.569206,605680.812500
9,3,25.980425,605680.812500
9,0,104.316872,508595.281250
9,1,0.202866,508595.281250
9,2,50.102818,508595.281250
9,3,47.414978,508595.281250
9,0,44.644939,623432.125000
9,1,0.201829,623432.125000
9,2,28.226082,623432.125000
9,3,13.088078,623432.125000
9,0,62.571781,663232.125000
9,1,0.198319,663232.125000
9,2,9.777614,663232.125000
9,3,10.469801,663232.125000
9,0,43.030651,508994.843750
9,1,0.204389,508994.843750
9,2,17.172625,508994.843750
9,3,13.245601,508994.843750
9,0,45.686893,566017.500000
9,1,0.197851,566017.500000
9,2,41.375446,566017.500000
9,3,7.919865,566017.500000
10,0,72.932930,605609.125000
10,1,3.911067,605609.125000
10,2,46.665821,605609.125000
10,3,4.684848,605609.125000
10,0,175.202194,490836.312500
10,1,0.219345,490836.312500
10,2,27.621468,490836.312500
10,3,14.124729,490836.312500
10,0,125.525490,565785.687500
10,1,0.218042,565785.687500
10,2,28.762489,565785.687500
10,3,15.979684,565785.687500
10,0,68.309685,469346.218750
10,1,0.218328,469346.218750
10,2,33.397289,469346.218750
10,3,11.153449,469346.218750
10,0,154.023621,548311.312500
10,1,0.219518,548311.312500
10,2,71.351570,548311.312500
10,3,46.474495,548311.312500
10,0,88.535355,566291.250000
10,1,0.225347,566291.250000
10,2,37.322441,566291.250000
10,3,27.124420,566291.250000
10,0,84.239090,508705.875000
10,1,0.221102,508705.875000
10,2,42.927357,508705.875000
10,3,15.998991,508705.875000
